MapRefNo,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Renovated,latitude,longitude,isu_dist,airport_dist,downtown_dist,price_per_area
528118050,2290,5.6990281958978475,1-STORY 1946 & NEWER ALL STYLES,RL,1.7708520116421442,20.276183901752244,1.0,None,0.0037911103834481494,Lvl,AllPub,CulDSac,2.0,NridgHt,Norm,Norm,1Fam,1Story,10,5,2007,2007,Hip,CompShg,CemntBd,CmentBd,BrkFace,970.0,3.0,2.0,PConc,5.0,2.4341454443074553,2.7219867696906777,6.0,1684.0,4.119873494213048,0.0,636.0,2320.0,GasA,4.0,1.0,SBrkr,2290,0,0,2.0,0.0,2,1,2,1,4.0,7,7.0,1,2.2533270170006707,Attchd,2007.0,3.0,3.0,1174.0,2.11249557097178,3.0,2.0,192,30,0,0,0,0,0.08467418783409197,0.0,None,0,8,2007,New,Partial,No,42.060427204081634,-93.65744926530613,2.3389577312552072,5.1588467517416605,3.1055079802751835,218.3698689956332
528176010,2696,5.698970004336019,1-STORY 1946 & NEWER ALL STYLES,RL,2.041392685158225,19.599545204875948,1.0,None,3.0,HLS,AllPub,Inside,1.0809763062605158,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095.0,3.0,2.0,PConc,5.0,2.4341454443074553,4.0,6.0,1373.0,4.119873494213048,0.0,1473.0,2846.0,GasA,4.0,1.0,SBrkr,2696,0,0,1.0,0.0,2,1,3,1,4.0,10,7.0,2,2.2533270170006707,Attchd,2003.0,3.0,3.0,958.0,2.11249557097178,3.0,2.0,220,150,0,0,0,0,0.08467418783409197,0.0,None,0,6,2010,WD ,Normal,Yes,42.05735590330952,-93.65612294798628,2.1163567212927332,4.936447750992788,2.901766636349041,185.45994065281897
528110040,2552,5.680398069074547,1-STORY 1946 & NEWER ALL STYLES,RL,2.0293837776852097,19.493692453715575,1.0,None,3.0,Lvl,AllPub,Inside,2.0,NridgHt,Norm,Norm,1Fam,1Story,9,5,2007,2007,Hip,CompShg,VinylSd,VinylSd,Stone,456.0,3.0,2.0,PConc,5.0,2.4341454443074553,4.0,6.0,1812.0,4.119873494213048,0.0,740.0,2552.0,GasA,4.0,1.0,SBrkr,2552,0,0,1.0,0.0,2,0,3,1,4.0,8,7.0,2,5.0,Attchd,2007.0,3.0,3.0,932.0,2.11249557097178,3.0,2.0,130,28,0,0,0,0,0.08467418783409197,0.0,None,0,10,2007,New,Partial,No,42.063049299999996,-93.6559183,2.493631684563833,5.302164826095901,3.1960108180433418,187.72296238244513
902400110,3608,5.676693609624866,2.5 STORY ALL AGES,RM,1.954242509439325,21.385153173227227,1.0,None,0.0037911103834481494,Lvl,AllPub,Inside,2.0,OldTown,Artery,Norm,1Fam,2.5Fin,10,9,1892,1993,Gable,WdShngl,Wd Sdng,Wd Sdng,None,0.0,1.8265931494113017,1.4825494664808143,BrkTil,1.2746243075610355,2.4341454443074553,2.4316970238237707,3.3676872539035188,0.0,4.119873494213048,0.0,1107.0,1107.0,GasA,4.0,1.0,SBrkr,1518,1518,572,0.0,0.0,2,1,4,1,4.0,12,7.0,2,1.8756322044586435,Detchd,1993.0,1.1946754417305403,3.0,840.0,1.07299501962129,3.0,2.0,0,260,0,0,410,0,0.08467418783409197,0.1022177495188724,None,0,6,2006,WD ,Normal,Yes,42.02953089547328,-93.61041103348938,1.7651128909609173,2.7609411508622586,0.4484817582445596,131.65188470066522
906412010,2276,5.676693609624866,1-STORY 1946 & NEWER ALL STYLES,RL,1.9590413923210936,18.899626371895607,1.0,None,3.0,Lvl,AllPub,Inside,2.0,CollgCr,Norm,Norm,1Fam,1Story,9,5,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,554.0,1.8265931494113017,2.0,PConc,2.754406441726428,2.4341454443074553,4.0,6.0,2085.0,4.119873494213048,0.0,186.0,2271.0,GasA,4.0,1.0,SBrkr,2276,0,0,1.0,0.0,2,0,3,1,4.0,7,7.0,2,2.2533270170006707,Attchd,2008.0,2.5752869056400822,3.0,1348.0,3.0,3.0,2.0,0,0,70,0,255,0,0.08467418783409197,0.0,None,0,6,2008,WD ,Abnorml,No,42.02745662663366,-93.68705983880328,2.182883166230731,4.206741804868591,3.553695886536248,208.69947275922672
527256120,2000,5.672097857935718,1-STORY 1946 & NEWER ALL STYLES,RL,1.954242509439325,20.508175891404715,1.0,None,0.9017818831033207,HLS,AllPub,Inside,2.0,StoneBr,Norm,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,420.0,3.0,2.0,PConc,5.0,2.4341454443074553,4.0,6.0,1416.0,4.119873494213048,0.0,494.0,1910.0,GasA,4.0,1.0,SBrkr,2000,0,0,1.0,0.0,2,1,3,1,4.0,8,7.0,2,2.2533270170006707,Attchd,2005.0,1.1946754417305403,3.0,722.0,2.11249557097178,3.0,2.0,351,102,0,0,123,0,0.08467418783409197,0.0,None,0,9,2006,WD ,Normal,No,42.058832731543625,-93.62895169798658,2.2818118152468942,4.730349873773227,2.3108250532955696,235.0
528441090,2490,5.670245853074124,1-STORY 1946 & NEWER ALL STYLES,RL,1.9294189257142929,18.69829585797955,1.0,None,3.0,Lvl,AllPub,Corner,2.0,Somerst,PosN,PosN,1Fam,1Story,9,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,Stone,198.0,3.0,2.0,PConc,5.0,2.4341454443074553,4.0,6.0,2158.0,4.119873494213048,0.0,300.0,2458.0,GasA,4.0,1.0,SBrkr,2490,0,0,1.0,0.0,2,0,2,1,4.0,9,7.0,2,2.2533270170006707,Attchd,2005.0,3.0,3.0,795.0,2.11249557097178,3.0,2.0,70,226,0,0,0,0,0.08467418783409197,0.1022177495188724,None,0,10,2009,WD ,Normal,Yes,42.05309237188999,-93.64170697555693,1.7445891844725974,4.437378193002818,2.2113258135584917,187.95180722891567
528327060,2633,5.6688516480825175,1-STORY 1946 & NEWER ALL STYLES,RL,1.9564132785103303,18.78375054224988,1.0,None,3.0,Lvl,AllPub,Inside,2.0,NoRidge,Norm,Norm,1Fam,1Story,10,5,2001,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,705.0,3.0,2.0,PConc,5.0,2.4341454443074553,4.0,6.0,1282.0,4.119873494213048,0.0,1351.0,2633.0,GasA,4.0,1.0,SBrkr,2633,0,0,1.0,0.0,2,1,2,1,4.0,8,7.0,2,2.2533270170006707,Attchd,2001.0,2.5752869056400822,3.0,804.0,2.11249557097178,3.0,2.0,314,140,0,0,0,0,0.08467418783409197,0.0,None,0,3,2007,WD ,Normal,Yes,42.05541185874376,-93.65417324608488,1.960408410582544,4.77563277314814,2.7351466260105664,177.1743258640334
528102140,2772,5.664641975556124,2-STORY 1946 & NEWER,RL,2.041392685158225,19.58854046550093,1.0,None,3.0,Lvl,AllPub,Inside,2.0,NridgHt,PosN,Norm,1Fam,2Story,9,5,2007,2007,Hip,CompShg,VinylSd,VinylSd,Stone,726.0,3.0,2.0,PConc,5.0,2.4341454443074553,1.8576374438380683,6.0,1360.0,4.119873494213048,0.0,416.0,1776.0,GasA,4.0,1.0,SBrkr,1794,978,0,1.0,0.0,3,1,4,1,4.0,10,7.0,3,2.2533270170006707,BuiltIn,2007.0,3.0,3.0,754.0,2.11249557097178,3.0,2.0,135,64,0,0,0,0,0.08467418783409197,0.0,None,0,6,2009,WD ,Normal,No,42.063049299999996,-93.6559183,2.493631684563833,5.302164826095901,3.1960108180433418,166.66666666666666
528118090,2790,5.662757831681574,2-STORY 1946 & NEWER,RL,1.9822712330395684,19.123476393135768,1.0,None,3.0,Lvl,AllPub,Inside,2.0,NridgHt,PosN,Norm,1Fam,2Story,10,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,468.0,3.0,2.0,PConc,5.0,2.4341454443074553,4.0,6.0,1082.0,4.119873494213048,0.0,538.0,1620.0,GasA,4.0,1.0,SBrkr,1632,1158,0,1.0,0.0,2,1,4,1,4.0,10,7.0,1,5.0,BuiltIn,2005.0,3.0,4.0,1150.0,2.11249557097178,3.0,2.0,30,200,0,0,192,0,0.08467418783409197,0.0,None,0,6,2008,WD ,Normal,Yes,42.06026381632653,-93.6575450612245,2.3295391659722813,5.150042043886631,3.10021061711232,164.87455197132616
527256040,2042,5.658011396657113,1-STORY 1946 & NEWER ALL STYLES,RL,1.9084850188786495,19.48818507717072,1.0,None,0.9017818831033207,HLS,AllPub,Inside,2.0,StoneBr,PosA,PosA,1Fam,1Story,10,5,2006,2007,Hip,CompShg,CemntBd,CmentBd,BrkFace,250.0,3.0,2.0,PConc,5.0,2.4341454443074553,4.0,6.0,1152.0,4.119873494213048,0.0,590.0,1742.0,GasA,4.0,1.0,SBrkr,2042,0,0,1.0,0.0,2,0,3,1,4.0,8,7.0,1,2.2533270170006707,Attchd,2007.0,3.0,3.0,724.0,2.11249557097178,3.0,2.0,240,52,0,0,174,0,0.08467418783409197,0.0,None,0,10,2007,New,Partial,Yes,42.05897141610738,-93.62841371812081,2.3006664331760427,4.737911165280902,2.3135550406243874,222.82076395690498
528110010,2296,5.655090390729038,2-STORY 1946 & NEWER,RL,1.9867717342662448,19.38403413491487,1.0,None,0.9017818831033207,Lvl,AllPub,Corner,2.0,NridgHt,Norm,Norm,1Fam,2Story,10,5,2008,2008,Gable,CompShg,CemntBd,CmentBd,Stone,420.0,3.0,2.0,PConc,5.0,2.4341454443074553,4.0,6.0,1338.0,4.119873494213048,0.0,384.0,1722.0,GasA,4.0,1.0,SBrkr,1728,568,0,1.0,0.0,2,1,3,1,4.0,10,7.0,1,2.2533270170006707,BuiltIn,2008.0,2.5752869056400822,3.0,842.0,2.11249557097178,3.0,2.0,382,274,0,0,0,0,0.08467418783409197,0.0,None,0,6,2009,ConLI,Normal,No,42.063049299999996,-93.6559183,2.493631684563833,5.302164826095901,3.1960108180433418,196.84233449477352
528106110,2046,5.653212513775344,1-STORY 1946 & NEWER ALL STYLES,RL,2.0211892990699383,19.87919583215046,1.0,None,3.0,Lvl,AllPub,Inside,2.0,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,3.0,2.0,PConc,5.0,2.4341454443074553,4.0,6.0,1430.0,4.119873494213048,0.0,564.0,1994.0,GasA,4.0,1.0,SBrkr,2046,0,0,1.0,0.0,2,1,2,1,4.0,7,7.0,2,2.2533270170006707,Attchd,2005.0,3.0,3.0,878.0,2.11249557097178,3.0,2.0,188,65,0,0,175,0,0.08467418783409197,0.0,None,0,8,2007,WD ,Normal,Yes,42.06135122133347,-93.6568043437672,2.391322978025999,5.207083965320376,3.13282429187077,219.94134897360703
528166090,2452,5.648360010980933,1-STORY 1946 & NEWER ALL STYLES,RL,2.041392685158225,19.84145740938663,1.0,None,0.9017818831033207,Lvl,AllPub,Corner,2.0,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,724.0,1.8265931494113017,2.0,PConc,5.0,2.4341454443074553,1.8576374438380683,6.0,1972.0,4.119873494213048,0.0,480.0,2452.0,GasA,4.0,1.0,SBrkr,2452,0,0,2.0,0.0,2,0,3,1,4.0,10,7.0,1,2.2533270170006707,Attchd,2003.0,3.0,3.0,886.0,2.11249557097178,3.0,2.0,0,116,0,0,0,0,0.08467418783409197,0.6756228875617447,None,0,7,2009,WD ,Normal,No,42.058839,-93.655045,2.200697189217688,5.013231890153913,2.9418114899403283,181.48450244698205
527256030,2234,5.645352501509636,1-STORY 1946 & NEWER ALL STYLES,RL,1.9294189257142929,19.5434555997692,1.0,None,0.9017818831033207,HLS,AllPub,Inside,2.0,StoneBr,Norm,Norm,1Fam,1Story,8,5,2006,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,945.0,1.8265931494113017,2.0,PConc,5.0,3.0,4.0,6.0,1558.0,4.119873494213048,0.0,662.0,2220.0,GasA,4.0,1.0,SBrkr,2234,0,0,1.0,0.0,1,1,1,1,2.2636393278340137,7,7.0,1,2.2533270170006707,Attchd,2006.0,2.5752869056400822,2.0,724.0,2.11249557097178,3.0,2.0,390,80,0,0,0,0,0.08467418783409197,0.0,None,0,1,2007,WD ,Normal,No,42.05896976510067,-93.62837961073826,2.3011977051758854,4.737677138297352,2.3130391245408486,197.819606087735
528114050,1976,5.643452676486187,1-STORY 1946 & NEWER ALL STYLES,RL,2.041392685158225,19.769140182499694,1.0,None,0.9017818831033207,Lvl,AllPub,Inside,2.0,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,304.0,1.8265931494113017,2.0,PConc,5.0,2.4341454443074553,4.0,6.0,1350.0,4.119873494213048,0.0,626.0,1976.0,GasA,4.0,1.0,SBrkr,1976,0,0,1.0,0.0,2,0,2,1,2.2636393278340137,7,7.0,1,5.0,Attchd,2006.0,2.5752869056400822,3.0,908.0,2.11249557097178,3.0,2.0,250,63,0,0,0,0,0.08467418783409197,0.0,None,0,7,2007,New,Partial,Yes,42.06112707267228,-93.6581291392952,2.3952392360734764,5.216407472471136,3.1649262921513266,222.67206477732796
528170040,2728,5.640634456577732,2-STORY 1946 & NEWER,RL,1.7481880270062005,20.93563838238251,1.0,None,0.0037911103834481494,Lvl,AllPub,Inside,2.0,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,870.0,3.0,2.0,PConc,5.0,2.4341454443074553,1.8576374438380683,6.0,1410.0,4.119873494213048,0.0,438.0,1848.0,GasA,4.0,1.0,SBrkr,1848,880,0,1.0,0.0,2,1,4,1,4.0,10,7.0,2,5.0,Attchd,2006.0,3.0,3.0,706.0,2.11249557097178,3.0,2.0,0,0,0,0,0,0,0.08467418783409197,0.0,None,0,4,2006,New,Partial,Yes,42.058523290232436,-93.65218318239245,2.1481696367918794,4.944640793643498,2.8315702958686004,160.24706744868038
528366050,3228,5.633468455579586,1-STORY 1946 & NEWER ALL STYLES,RL,1.9564132785103303,19.16705768429772,1.0,None,0.9017818831033207,Lvl,AllPub,Inside,2.0,NoRidge,Norm,Norm,1Fam,1Story,8,5,1992,1993,Hip,CompShg,BrkFace,BrkFace,None,0.0,1.8265931494113017,2.0,PConc,2.754406441726428,2.4341454443074553,1.8576374438380683,6.0,1231.0,4.119873494213048,0.0,1969.0,3200.0,GasA,4.0,1.0,SBrkr,3228,0,0,1.0,0.0,3,0,4,1,2.2636393278340137,10,7.0,1,2.2533270170006707,Attchd,1992.0,2.5752869056400822,2.0,546.0,2.11249557097178,3.0,2.0,264,75,291,0,0,0,0.08467418783409197,0.0,None,0,5,2007,WD ,Normal,Yes,42.04951401231898,-93.65345176877531,1.5583982498722442,4.3821531060327015,2.424425873932999,133.20941759603468
921128050,1978,5.628388930050311,1-STORY 1946 & NEWER ALL STYLES,RL,1.9294189257142929,19.15030591078585,1.0,None,0.9017818831033207,HLS,AllPub,Inside,2.0,Timber,Norm,Norm,1Fam,1Story,9,5,2007,2007,Hip,CompShg,CemntBd,CmentBd,Stone,290.0,3.0,2.0,PConc,5.0,2.4341454443074553,4.0,6.0,1640.0,4.119873494213048,0.0,338.0,1978.0,GasA,4.0,1.0,SBrkr,1978,0,0,1.0,0.0,2,0,2,1,4.0,7,7.0,1,2.2533270170006707,Attchd,2007.0,3.0,3.0,920.0,2.11249557097178,3.0,2.0,308,52,0,0,0,0,0.08467418783409197,0.0,None,0,5,2009,WD ,Normal,No,41.993090368244026,-93.65077168001568,2.4237955809971954,1.4879457963057208,2.848613219516705,214.86349848331645
528429120,2097,5.626340367375042,1-STORY 1946 & NEWER ALL STYLES,RL,1.6901960800285136,21.022095687768022,1.0,None,0.0037911103834481494,Lvl,AllPub,CulDSac,2.0,Somerst,RRAn,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,1.8265931494113017,2.0,PConc,5.0,2.4341454443074553,2.4316970238237707,6.0,1721.0,4.119873494213048,0.0,356.0,2077.0,GasA,4.0,1.0,SBrkr,2097,0,0,1.0,0.0,1,1,1,1,4.0,8,7.0,1,5.0,Attchd,2005.0,3.0,3.0,1134.0,2.11249557097178,3.0,2.0,192,267,0,0,0,0,0.08467418783409197,0.0,None,0,1,2006,New,Partial,Yes,42.054005,-93.6414042,1.8087177274464663,4.495262624571182,2.255796996800651,201.7167381974249
528178070,2649,5.624539913879395,2-STORY 1946 & NEWER,RL,2.113943352306837,20.21708133078226,1.0,None,3.0,Lvl,AllPub,Inside,2.0,NridgHt,Norm,Norm,1Fam,2Story,8,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,1110.0,1.8265931494113017,2.0,PConc,5.0,2.4341454443074553,2.4316970238237707,6.0,1075.0,4.119873494213048,0.0,404.0,1479.0,GasA,4.0,1.0,SBrkr,1515,1134,0,1.0,0.0,2,1,4,1,2.2636393278340137,10,7.0,1,1.8756322044586435,Attchd,2001.0,3.0,3.0,746.0,2.11249557097178,3.0,2.0,0,60,0,0,0,0,0.08467418783409197,0.0,None,0,1,2008,WD ,Normal,Yes,42.05718584898524,-93.65531279784706,2.0937785221089102,4.910804568462919,2.8650467799611627,159.02227255568138
